Anyo;Semana;Zona Hidrográfica;Embalse Hidroeléctrico;Embalses;Ríos;AguaEmbalsada (hm3) Capacidad;AguaEmbalsada (hm3) Actual;AguaEmbalsada (hm3) (+ / -)SemanaAnterior;EnergíaDisponible GWh Capacidad;EnergíaDisponible GWh Actual;
2018;7;Tajo;SI;Valdecañas;Tajo;1.446;745;-47;664;231;
2018;7;Tajo;NO;Valdeobispo;Alagón;53;45;-1;14;9;
2018;7;Tajo;NO;Valmayor;Aulencia;124;45;-1;0;0;
2018;7;Tajo;NO;Vellón,El-(Pedrezuela);Guadalix;41;23;0;0;0;
2018;7;Tajo;NO;Villar, El;Lozoya;23;20;1;0;0;
2018;7;Guadiana;NO;Aguijón, El;Alcarrache;11;8;0;0;0;
2018;7;Guadiana;NO;Alange;Matachel;852;327;-1;0;0;
2018;7;Guadiana;NO;Andévalo;Malagón;634;466;-20;0;0;
2018;7;Guadiana;NO;Boquerón;Rosal;6;4;0;0;0;
2018;7;Guadiana;NO;Brovales;Brovales;7;3;0;0;0;
2018;7;Guadiana;NO;Canchales;Lácara;26;13;0;0;0;
2018;7;Guadiana;NO;Cancho del Fresno;Ruecas;15;8;0;0;0;
2018;7;Guadiana;NO;Chanza;Chanza;341;126;-3;0;0;
2018;7;Guadiana;NO;Cijara;Guadiana;1.505;538;0;296;52;
2018;7;Guadiana;NO;Cornalbo;Albarregas;11;0;0;0;0;
2018;7;Guadiana;NO;Cubilar;Cubilar;10;3;0;0;0;
2018;7;Guadiana;NO;El Vicario;Guadiana;32;4;0;0;0;
2018;7;Guadiana;NO;García de Sola;Guadiana;554;216;-5;38;0;
2018;7;Guadiana;NO;Gargáligas;Gargáligas;21;11;-4;0;0;
2018;7;Guadiana;NO;Gasset;Becea;42;9;0;0;0;
2018;7;Guadiana;NO;Horno Tejero;Lácara;24;18;-1;0;0;
2018;7;Guadiana;NO;La Cabezuela;Jabalón;43;11;-1;0;0;
2018;7;Guadiana;NO;La Serena;Zújar;3.219;1.219;-1;421;119;
2018;7;Guadiana;NO;Llerena;Conejo;9;7;0;0;0;
2018;7;Guadiana;NO;Los Molinos;Matachel;34;21;0;0;0;
2018;7;Guadiana;NO;Montijo;Guadiana;11;4;0;0;0;
2018;7;Guadiana;NO;Nogales;Nogales;15;10;0;0;0;
2018;7;Guadiana;NO;Orellana;Guadiana;808;521;0;20;6;
2018;7;Guadiana;NO;Peñarroya;Guadiana;51;22;0;0;0;
2018;7;Guadiana;NO;Piedra Aguda;Olivenza;16;5;0;0;0;
2018;7;Guadiana;NO;Proserpina;Pardilla;5;3;0;0;0;
2018;7;Guadiana;NO;Pto. Vallehermoso;Azuer;7;2;0;0;0;
2018;7;Guadiana;NO;Ruecas;Ruecas;44;20;-4;0;0;
2018;7;Guadiana;NO;Sierra Brava;Pizarroso;233;124;12;0;0;
2018;7;Guadiana;NO;Tentudia;Bodión;5;2;0;0;0;
2018;7;Guadiana;NO;Torre de Abrahán;Bullaque;183;15;0;0;0;
2018;7;Guadiana;NO;Valuengo;Ardila;20;9;0;0;0;
2018;7;Guadiana;NO;Vega del Jabalón;Jabalón;34;8;0;0;0;
2018;7;Guadiana;NO;Villar del Rey;Zapatón;131;67;-1;0;0;
2018;7;Guadiana;NO;Zújar;Zújar;302;213;-1;18;9;
2018;7;Tinto, Odiel y Piedras;NO;Corumbel Bajo;Corumbel;19;11;0;0;0;
2018;7;Tinto, Odiel y Piedras;NO;Jarrama;Jarrama;43;30;0;0;0;
2018;7;Tinto, Odiel y Piedras;NO;Los Machos;Piedras;12;4;0;0;0;
2018;7;Tinto, Odiel y Piedras;NO;Odiel;Odiel;8;7;0;0;0;
2018;7;Tinto, Odiel y Piedras;NO;Olivargas;Olivargas;29;27;0;0;0;
2018;7;Tinto, Odiel y Piedras;NO;Piedras;Piedras;60;41;0;0;0;
2018;7;Tinto, Odiel y Piedras;NO;Sancho;Meca;58;48;0;0;0;
2018;7;Guadalete-Barbate;NO;Almodóvar;Almodóvar;6;2;0;0;0;
2018;7;Guadalete-Barbate;NO;Arcos de la Frontera;Guadalete;14;13;0;0;0;
2018;7;Guadalete-Barbate;NO;Barbate;Barbate;228;87;0;0;0;
2018;7;Guadalete-Barbate;NO;Bornos;Guadalete;200;49;0;18;4;
2018;7;Guadalete-Barbate;NO;Celemín;Celemín;45;19;0;0;0;
2018;7;Guadalete-Barbate;NO;Guadalcacín II;Majaceite;800;340;-1;0;0;
2018;7;Guadalete-Barbate;NO;Hurones, Los;Majaceite;135;35;-1;23;5;
2018;7;Guadalete-Barbate;NO;Zahara-El Gastor;Guadalete;223;109;0;0;0;
2018;7;Guadalquivir;NO;Agrio (Aznalcollar);Agrio;20;9;0;0;0;
2018;7;Guadalquivir;NO;Aguascebas;Aguascebas;6;4;0;0;0;
2018;7;Guadalquivir;NO;Aracena;Rivera de Huelva;129;73;-1;0;0;
2018;7;Guadalquivir;NO;Arenoso;Arenoso;167;30;1;0;0;
2018;7;Guadalquivir;NO;Bembézar;Bembézar;342;132;-1;53;15;
2018;7;Guadalquivir;NO;Bermejales;Cacín;103;31;0;6;5;
2018;7;Guadalquivir;NO;Bolera, La;Guadalentín;53;18;0;0;0;
2018;7;Guadalquivir;NO;Breña II, La;Guadiato;823;196;0;0;0;
2018;7;Guadalquivir;SI;Cala;Rivera de Cala;59;17;0;21;6;
2018;7;Guadalquivir;NO;Canales;Genil;70;21;0;43;25;
2018;7;Guadalquivir;NO;Colomera;Colomera;40;7;0;0;0;
2018;7;Guadalquivir;NO;Cubillas;Cubillas;19;11;0;0;0;
